configuration id, instance id, performance
6,61, 6.6229
6,62, 8.7792
6,63, 4.4643
6,64, 1.3386
6,65, 1.1011
6,66, 3.3896
6,67, 7.7861
6,68, 9.6482
6,69, 1.3829
6,70, 26.6855
6,71, 5.4276
6,72, 2.378
6,73, 4.9092
6,74, 4.3909
6,75, 0.9449
6,76, 2.2587
6,77, 1.042
6,78, 20.4942
6,79, 3.7963
6,80, 18.2107
6,81, 7.5952
6,82, 11.0484
6,83, 9.8672
6,84, 2.3933
6,85, 3.229
6,86, 4.2882
6,87, 9.2688
6,88, 7.4778
6,89, 0.3118
6,90, 0.111
6,91, 16.6017
6,92, 23.9661
6,93, 31.3258
6,94, 6.0027
6,95, 1.2619
6,96, 8.8172
6,97, 39.8469
6,98, 10.6723
6,99, 3.7514
7,0, 300.085
7,1, 300.086
7,2, 300.09
7,3, 300.086
7,4, 300.088
7,5, 300.087
7,6, 300.084
7,7, 300.102
7,8, 300.089
7,9, 300.088
7,10, 300.089
7,11, 300.087
7,12, 300.086
7,13, 300.088
7,14, 300.083
7,15, 300.087
7,16, 300.08
7,17, 300.085
7,18, 300.088
7,19, 300.087
7,20, 300.089
7,21, 300.157
7,22, 300.088
7,23, 300.089
7,24, 300.285
7,25, 300.137
7,26, 300.17
7,27, 300.136
7,28, 300.134
7,29, 300.128
7,30, 300.078
7,31, 300.086
7,32, 300.085
7,33, 300.087
7,34, 300.087
7,35, 300.051
7,36, 300.049
7,37, 300.018
7,38, 300.293
7,39, 300.088
7,40, 300.064
7,41, 300.047
7,42, 300.064
7,43, 300.096
7,44, 300.105
7,45, 300.093
7,46, 300.077
7,47, 300.088
7,48, 300.095
7,49, 300.012
7,50, 300.089
7,51, 300.098
7,52, 300.114
7,53, 300.062
7,54, 300.064
7,55, 300.052
7,56, 300.039
7,57, 300.028
7,58, 300.078
7,59, 300.098
7,60, 300.036
7,61, 300.044
7,62, 300.036
7,63, 300.042
7,64, 300.028
7,65, 300.025
7,66, 300.099
7,67, 300.089
7,68, 300.098
7,69, 300.08
7,70, 300.012
7,71, 300.086
7,72, 300.087
7,73, 300.093
7,74, 300.273
7,75, 300.09
7,76, 300.079
7,77, 300.3
7,78, 300.237
7,79, 300.011
7,80, 300.088
7,81, 300.025
7,82, 300.086
7,83, 300.089
