,seed,incumbent,challenger,selected_instances,additional_time,selection
644,7,65,36,10,3.2209000000000003,discrimination-1.78
645,7,65,47,10,1.0851,discrimination-1.78
646,7,65,49,10,3.9935,discrimination-1.78
647,7,65,61,10,1.8835,discrimination-1.78
648,7,65,73,1,0.3934,discrimination-1.78
649,7,65,77,10,1.3429000000000002,discrimination-1.78
650,7,65,80,10,1.5352000000000001,discrimination-1.78
651,7,65,82,10,1.3881,discrimination-1.78
652,7,65,88,10,0.7822,discrimination-1.78
653,7,65,95,10,3.0286999999999997,discrimination-1.78
654,7,65,98,10,2.9139,discrimination-1.78
655,3,20,5,10,3.0789,discrimination-1.67
656,3,20,7,10,0.9141,discrimination-1.67
657,3,20,16,10,1.1244,discrimination-1.67
658,3,20,17,10,2.2919,discrimination-1.67
659,3,20,18,10,1.2555,discrimination-1.67
660,3,20,21,10,1.7869000000000002,discrimination-1.67
661,3,20,24,10,1.018,discrimination-1.67
662,3,20,34,10,1.5937,discrimination-1.67
663,3,20,35,10,5.301500000000001,discrimination-1.67
664,3,20,41,10,3.2725,discrimination-1.67
665,3,20,43,10,2.5592,discrimination-1.67
666,3,20,45,10,1.8768999999999998,discrimination-1.67
667,3,20,62,10,6.5687,discrimination-1.67
668,3,20,63,10,1.0913,discrimination-1.67
669,3,20,65,10,3.7201000000000004,discrimination-1.67
670,3,20,80,10,1.332,discrimination-1.67
671,3,20,82,10,4.2355,discrimination-1.67
672,3,20,86,10,3.2448,discrimination-1.67
673,3,20,88,10,2.3935999999999997,discrimination-1.67
674,3,20,99,10,3.1117000000000004,discrimination-1.67
675,1,14,1,10,1.1167,discrimination-2.0
676,1,14,18,10,0.7867,discrimination-2.0
677,1,14,21,10,0.7238,discrimination-2.0
678,1,14,35,10,2.099,discrimination-2.0
679,1,14,36,10,1.5219999999999998,discrimination-2.0
680,1,14,41,10,3.1483000000000003,discrimination-2.0
681,1,14,47,10,0.7892000000000001,discrimination-2.0
682,1,14,61,10,1.2802,discrimination-2.0
683,1,14,64,10,0.9405000000000001,discrimination-2.0
684,1,14,73,10,2.0109000000000004,discrimination-2.0
685,1,14,77,10,2.4709999999999996,discrimination-2.0
686,1,14,82,10,3.0198000000000005,discrimination-2.0
687,1,14,95,10,5.4898,discrimination-2.0
688,7,65,1,10,2.5528,discrimination-1.8900000000000001
689,7,65,17,10,1.7262,discrimination-1.8900000000000001
690,7,65,18,10,1.7750000000000001,discrimination-1.8900000000000001
691,7,65,22,10,1.5856,discrimination-1.8900000000000001
692,7,65,24,10,2.1,discrimination-1.8900000000000001
693,7,65,31,10,2.3882000000000003,discrimination-1.8900000000000001
694,7,65,36,10,3.2209000000000003,discrimination-1.8900000000000001
695,7,65,47,10,2.9805,discrimination-1.8900000000000001
696,7,65,49,10,3.4375000000000004,discrimination-1.8900000000000001
697,7,65,61,6,1.2439,discrimination-1.8900000000000001
698,7,65,73,1,0.3934,discrimination-1.8900000000000001
699,7,65,77,10,1.3436,discrimination-1.8900000000000001
700,7,65,80,10,1.5352000000000001,discrimination-1.8900000000000001
701,7,65,82,10,1.3881,discrimination-1.8900000000000001
702,7,65,88,10,0.7711,discrimination-1.8900000000000001
703,7,65,95,10,3.6407000000000003,discrimination-1.8900000000000001
