,seed,incumbent,challenger,selected_instances,additional_time,selection
2625,5,89,52,10,253.18629999999996,udd-0.6000000000000001-1.2
2626,5,89,58,10,317.83219999999994,udd-0.6000000000000001-1.2
2627,5,89,72,10,209.5751,udd-0.6000000000000001-1.2
2628,5,89,83,10,325.0803999999999,udd-0.6000000000000001-1.2
2629,9,72,17,10,181.8132,udd-0.6000000000000001-1.4000000000000001
2630,9,72,25,2,10.2896,udd-0.6000000000000001-1.4000000000000001
2631,9,72,35,10,144.7418,udd-0.6000000000000001-1.4000000000000001
2632,9,72,44,2,13.4251,udd-0.6000000000000001-1.4000000000000001
2633,9,72,49,6,75.7661,udd-0.6000000000000001-1.4000000000000001
2634,9,72,52,7,160.2695,udd-0.6000000000000001-1.4000000000000001
2635,9,72,89,10,134.274,udd-0.6000000000000001-1.4000000000000001
2636,4,6,25,10,213.8236,udd-0.6000000000000001-1.2
2637,4,6,34,10,76.5337,udd-0.6000000000000001-1.2
2638,4,6,35,7,49.5613,udd-0.6000000000000001-1.2
2639,4,6,44,10,246.4266,udd-0.6000000000000001-1.2
2640,4,6,48,10,62.444700000000005,udd-0.6000000000000001-1.2
2641,4,6,49,8,188.3141,udd-0.6000000000000001-1.2
2642,4,6,52,10,56.382799999999996,udd-0.6000000000000001-1.2
2643,4,6,72,10,90.0526,udd-0.6000000000000001-1.2
2644,4,6,74,10,111.0241,udd-0.6000000000000001-1.2
2645,4,6,83,10,125.2908,udd-0.6000000000000001-1.2
2646,7,49,6,10,176.378,udd-0.6000000000000001-1.2
2647,7,49,17,10,56.82150000000001,udd-0.6000000000000001-1.2
2648,7,49,48,10,151.8953,udd-0.6000000000000001-1.2
2649,7,49,52,10,129.977,udd-0.6000000000000001-1.2
2650,7,49,72,10,146.0341,udd-0.6000000000000001-1.2
2651,7,49,74,1,8.2608,udd-0.6000000000000001-1.2
2652,7,49,83,10,210.2548,udd-0.6000000000000001-1.2
2653,7,49,89,10,166.84139999999996,udd-0.6000000000000001-1.2
2654,7,49,93,10,131.23059999999998,udd-0.6000000000000001-1.2
2655,2,72,6,7,160.3773,udd-0.6000000000000001-1.4000000000000001
2656,2,72,17,5,116.84400000000001,udd-0.6000000000000001-1.4000000000000001
2657,2,72,34,10,216.39280000000002,udd-0.6000000000000001-1.4000000000000001
2658,2,72,35,10,184.137,udd-0.6000000000000001-1.4000000000000001
2659,2,72,44,4,71.7205,udd-0.6000000000000001-1.4000000000000001
2660,2,72,48,10,179.5642,udd-0.6000000000000001-1.4000000000000001
2661,2,72,49,5,121.88740000000001,udd-0.6000000000000001-1.4000000000000001
2662,2,72,50,1,18.4099,udd-0.6000000000000001-1.4000000000000001
2663,2,72,52,1,6.7776,udd-0.6000000000000001-1.4000000000000001
2664,2,72,77,1,319.60310000000004,udd-0.6000000000000001-1.4000000000000001
2665,2,72,89,10,126.7613,udd-0.6000000000000001-1.4000000000000001
2666,1,25,17,10,352.70990000000006,udd-0.6000000000000001-1.0
2667,1,25,28,10,329.48800000000006,udd-0.6000000000000001-1.0
2668,1,25,31,7,385.7626,udd-0.6000000000000001-1.0
2669,1,25,34,10,387.5746,udd-0.6000000000000001-1.0
2670,1,25,35,1,1.9521000000000002,udd-0.6000000000000001-1.0
2671,1,25,44,10,186.0466,udd-0.6000000000000001-1.0
2672,1,25,49,10,134.77100000000002,udd-0.6000000000000001-1.0
2673,1,25,50,10,105.44640000000001,udd-0.6000000000000001-1.0
2674,1,25,58,10,232.07739999999995,udd-0.6000000000000001-1.0
2675,1,25,72,8,101.6533,udd-0.6000000000000001-1.0
2676,1,25,74,10,299.9082,udd-0.6000000000000001-1.0
2677,1,25,77,10,221.8243,udd-0.6000000000000001-1.0
2678,1,25,89,7,90.3564,udd-0.6000000000000001-1.0
2679,1,25,93,6,59.0845,udd-0.6000000000000001-1.0
2680,1,25,96,4,20.9162,udd-0.6000000000000001-1.0
2681,3,58,6,10,207.50400000000002,udd-0.6000000000000001-1.4000000000000001
2682,3,58,25,10,154.3718,udd-0.6000000000000001-1.4000000000000001
2683,3,58,27,2,18.125799999999998,udd-0.6000000000000001-1.4000000000000001
2684,3,58,34,7,116.05890000000002,udd-0.6000000000000001-1.4000000000000001
2685,3,58,44,10,345.24080000000004,udd-0.6000000000000001-1.4000000000000001
2686,3,58,49,10,246.8147,udd-0.6000000000000001-1.4000000000000001
2687,3,58,50,7,751.1373,udd-0.6000000000000001-1.4000000000000001
2688,3,58,74,10,324.2209,udd-0.6000000000000001-1.4000000000000001
2689,3,58,83,10,757.7525,udd-0.6000000000000001-1.4000000000000001
2690,3,58,89,3,62.58519999999999,udd-0.6000000000000001-1.4000000000000001
2691,6,58,25,10,365.9994,udd-0.6000000000000001-1.2
2692,6,58,27,3,9.200800000000001,udd-0.6000000000000001-1.2
2693,6,58,28,10,99.04249999999998,udd-0.6000000000000001-1.2
2694,6,58,44,8,91.9487,udd-0.6000000000000001-1.2
2695,6,58,48,4,34.8185,udd-0.6000000000000001-1.2
2696,6,58,49,10,145.33440000000002,udd-0.6000000000000001-1.2
2697,6,58,50,3,245.78170000000003,udd-0.6000000000000001-1.2
2698,6,58,72,4,60.6834,udd-0.6000000000000001-1.2
2699,6,58,74,6,54.1714,udd-0.6000000000000001-1.2
2700,6,58,77,8,225.12099999999998,udd-0.6000000000000001-1.2
2701,6,58,83,10,195.71499999999997,udd-0.6000000000000001-1.2
2702,6,58,89,3,30.46,udd-0.6000000000000001-1.2
2703,6,58,93,10,352.6853,udd-0.6000000000000001-1.2
2704,6,58,96,8,239.7262,udd-0.6000000000000001-1.2
2705,8,89,6,10,106.26100000000001,udd-0.6000000000000001-1.0
2706,8,89,17,10,114.0351,udd-0.6000000000000001-1.0
2707,8,89,28,10,75.42660000000001,udd-0.6000000000000001-1.0
2708,8,89,34,1,9.694600000000001,udd-0.6000000000000001-1.0
2709,8,89,35,10,122.0732,udd-0.6000000000000001-1.0
2710,8,89,48,10,92.57509999999998,udd-0.6000000000000001-1.0
2711,8,89,49,10,300.7196,udd-0.6000000000000001-1.0
2712,8,89,50,5,200.83530000000002,udd-0.6000000000000001-1.0
2713,8,89,52,10,90.5444,udd-0.6000000000000001-1.0
2714,8,89,72,10,116.5097,udd-0.6000000000000001-1.0
2715,8,89,74,10,127.92770000000002,udd-0.6000000000000001-1.0
2716,8,89,83,9,114.59309999999999,udd-0.6000000000000001-1.0
2717,0,72,6,4,195.2491,udd-0.6000000000000001-1.8
2718,0,72,34,10,283.5109,udd-0.6000000000000001-1.8
2719,0,72,35,10,279.39619999999996,udd-0.6000000000000001-1.8
2720,0,72,48,10,206.41620000000003,udd-0.6000000000000001-1.8
2721,0,72,52,3,77.42999999999999,udd-0.6000000000000001-1.8
2722,0,72,83,2,27.884,udd-0.6000000000000001-1.8
2723,5,89,6,10,263.8251,udd-0.6000000000000001-1.4000000000000001
2724,5,89,25,10,287.1814,udd-0.6000000000000001-1.4000000000000001
2725,5,89,34,10,352.2194,udd-0.6000000000000001-1.4000000000000001
2726,5,89,35,4,171.0269,udd-0.6000000000000001-1.4000000000000001
2727,5,89,48,10,270.61220000000003,udd-0.6000000000000001-1.4000000000000001
2728,5,89,50,8,571.2189,udd-0.6000000000000001-1.4000000000000001
2729,5,89,52,10,253.18629999999996,udd-0.6000000000000001-1.4000000000000001
2730,5,89,58,10,325.0262,udd-0.6000000000000001-1.4000000000000001
2731,5,89,72,10,209.5751,udd-0.6000000000000001-1.4000000000000001
2732,5,89,83,7,301.1544999999999,udd-0.6000000000000001-1.4000000000000001
2733,9,72,17,10,181.8132,udd-0.6000000000000001-1.6
2734,9,72,25,2,10.2896,udd-0.6000000000000001-1.6
2735,9,72,35,10,144.7418,udd-0.6000000000000001-1.6
2736,9,72,44,2,13.4251,udd-0.6000000000000001-1.6
2737,9,72,49,6,75.7661,udd-0.6000000000000001-1.6
2738,9,72,52,7,160.2695,udd-0.6000000000000001-1.6
2739,9,72,89,10,134.274,udd-0.6000000000000001-1.6
2740,4,6,25,10,213.8236,udd-0.6000000000000001-1.4000000000000001
2741,4,6,34,10,76.5337,udd-0.6000000000000001-1.4000000000000001
2742,4,6,35,7,49.5613,udd-0.6000000000000001-1.4000000000000001
2743,4,6,44,10,246.4266,udd-0.6000000000000001-1.4000000000000001
2744,4,6,48,10,67.65310000000001,udd-0.6000000000000001-1.4000000000000001
2745,4,6,49,7,184.7207,udd-0.6000000000000001-1.4000000000000001
2746,4,6,52,10,56.382799999999996,udd-0.6000000000000001-1.4000000000000001
2747,4,6,72,10,90.0526,udd-0.6000000000000001-1.4000000000000001
2748,4,6,74,10,111.0241,udd-0.6000000000000001-1.4000000000000001
2749,4,6,83,10,142.4923,udd-0.6000000000000001-1.4000000000000001
2750,8,89,6,10,106.26100000000001,udd-0.6000000000000001-1.2
2751,8,89,17,10,114.0351,udd-0.6000000000000001-1.2
